store_id,city,region,month,year,quarter,digital_ad_spend_lakh,offline_ad_spend_lakh,store_footfall,gold_price_index,discount_pct,festival_month,returning_customer_pct,inventory_availability_pct,avg_transaction_value_lakh,birthday_customers_count,anniversary_customers_count,wedding_leads_count,noise_lakh,sales_lakh
STR-01,Mumbai,West,2023-09-01,2023,Q3,18.16,7.39,2026,98.97,2.94,0,69.07,93.98,1.69,75,31,7,-1.19,118.77
STR-02,Delhi,North,2023-09-01,2023,Q3,11.3,12.27,2932,100.23,6.43,0,40.64,89.65,0.64,60,46,28,3.16,124.51
STR-03,Bengaluru,South,2023-09-01,2023,Q3,17.89,6.55,1076,100.93,9.78,0,39.4,87.8,0.61,82,32,8,4.39,112.47
STR-04,Chennai,South,2023-09-01,2023,Q3,17.66,12.68,1968,95.7,6.7,0,39.2,80.73,1.24,37,22,10,4.08,125.62
STR-05,Hyderabad,South,2023-09-01,2023,Q3,12.43,11.33,2538,95.12,10.32,0,62.58,86.14,0.97,64,18,24,-8.65,128.43
STR-06,Pune,West,2023-09-01,2023,Q3,8.4,3.07,2972,98.65,9.05,0,61.67,87.64,1.37,70,9,8,-9.25,113.04
STR-07,Kolkata,East,2023-09-01,2023,Q3,16.36,7.71,3124,99.65,8.35,0,53.04,89.74,0.99,54,35,4,-1.52,137.05
STR-08,Ahmedabad,West,2023-09-01,2023,Q3,8.65,7.09,3481,94.34,2.58,0,42.69,84.17,1.51,74,13,20,6.81,128.36
STR-09,Jaipur,North,2023-09-01,2023,Q3,16.29,7.06,1987,93.67,2.23,0,35.42,93.17,1.22,71,40,8,0.03,115.13
STR-10,Kochi,South,2023-09-01,2023,Q3,7.59,9.96,2189,95.81,5.02,0,55.95,85.6,0.68,46,23,7,11.09,120.43
STR-01,Mumbai,West,2023-10-01,2023,Q4,20.45,10.0,2089,101.69,9.79,1,59.24,87.44,0.94,33,11,6,9.66,156.34
STR-02,Delhi,North,2023-10-01,2023,Q4,12.75,5.02,2776,97.79,3.77,1,64.55,93.93,1.59,36,37,16,3.06,139.83
STR-03,Bengaluru,South,2023-10-01,2023,Q4,14.93,9.5,2535,96.16,2.42,1,50.77,84.93,0.76,20,38,7,2.1,129.66
STR-04,Chennai,South,2023-10-01,2023,Q4,7.9,12.25,3474,95.47,7.91,1,32.87,98.13,1.25,55,29,27,-10.01,139.48
STR-05,Hyderabad,South,2023-10-01,2023,Q4,13.27,7.91,2047,97.72,6.73,1,42.15,84.96,1.3,80,46,17,-11.48,125.09
STR-06,Pune,West,2023-10-01,2023,Q4,19.05,11.96,2311,97.54,3.09,1,57.55,83.91,1.51,24,40,25,6.45,157.92
STR-07,Kolkata,East,2023-10-01,2023,Q4,6.83,12.16,3436,92.37,7.55,1,46.1,95.43,1.72,31,51,13,10.87,166.14
STR-08,Ahmedabad,West,2023-10-01,2023,Q4,9.95,8.15,3255,101.36,3.65,1,33.71,87.14,1.99,32,14,30,5.97,147.67
STR-09,Jaipur,North,2023-10-01,2023,Q4,20.14,11.93,1201,95.16,9.72,1,57.14,85.85,0.69,51,41,26,-5.7,150.45
STR-10,Kochi,South,2023-10-01,2023,Q4,20.93,5.41,983,100.31,3.53,1,38.81,90.59,1.82,23,10,9,-4.55,124.93
STR-01,Mumbai,West,2023-11-01,2023,Q4,18.22,12.72,2198,93.44,2.14,1,40.73,80.77,1.53,50,51,7,0.15,135.7
STR-02,Delhi,North,2023-11-01,2023,Q4,16.8,8.81,1984,100.04,9.15,1,60.08,80.75,0.73,28,33,31,-2.46,140.52
STR-03,Bengaluru,South,2023-11-01,2023,Q4,10.12,7.89,2222,101.56,4.86,1,67.14,78.52,1.36,61,14,23,-9.46,119.41
STR-04,Chennai,South,2023-11-01,2023,Q4,7.39,7.19,916,97.96,11.33,1,62.57,87.82,1.69,82,46,4,-9.38,117.38
STR-05,Hyderabad,South,2023-11-01,2023,Q4,19.1,10.97,2104,97.31,8.06,1,64.97,90.67,1.15,31,13,15,-1.78,153.04
STR-06,Pune,West,2023-11-01,2023,Q4,16.08,11.67,1612,94.48,4.37,1,60.35,95.15,0.7,46,47,5,2.27,138.6
STR-07,Kolkata,East,2023-11-01,2023,Q4,7.48,11.25,1729,93.44,11.21,1,38.29,83.98,0.77,36,28,7,-11.49,117.74
STR-08,Ahmedabad,West,2023-11-01,2023,Q4,5.94,4.75,3061,97.91,8.81,1,46.96,84.68,1.28,18,41,30,8.43,149.4
STR-09,Jaipur,North,2023-11-01,2023,Q4,5.74,4.81,3212,94.49,7.71,1,47.82,79.03,1.09,31,49,19,-9.56,130.02
STR-10,Kochi,South,2023-11-01,2023,Q4,19.17,3.52,1951,92.99,10.44,1,66.3,98.57,1.71,79,34,27,3.42,175.02
STR-01,Mumbai,West,2023-12-01,2023,Q4,18.24,4.35,3048,97.14,10.58,0,49.59,86.09,1.48,52,19,11,-8.65,129.05
STR-02,Delhi,North,2023-12-01,2023,Q4,13.12,7.17,2471,95.68,5.66,0,44.44,85.97,1.54,31,18,12,10.77,124.43
STR-03,Bengaluru,South,2023-12-01,2023,Q4,20.58,7.81,2903,97.35,10.49,0,56.8,94.89,1.32,37,42,22,-5.08,147.29
STR-04,Chennai,South,2023-12-01,2023,Q4,17.49,5.02,2453,100.61,3.32,0,55.35,80.0,1.6,63,34,6,10.46,129.59
STR-05,Hyderabad,South,2023-12-01,2023,Q4,7.34,12.59,1340,97.94,9.83,0,62.21,97.87,0.92,71,40,21,-9.72,107.34
STR-06,Pune,West,2023-12-01,2023,Q4,15.47,4.71,1236,97.72,6.66,0,51.86,94.04,1.71,54,31,18,2.39,118.25
STR-07,Kolkata,East,2023-12-01,2023,Q4,20.83,4.2,2944,92.88,8.58,0,47.91,94.26,1.52,23,40,14,9.56,157.92
STR-08,Ahmedabad,West,2023-12-01,2023,Q4,17.96,5.71,2968,95.14,3.58,0,37.62,97.66,1.18,40,41,15,5.51,136.94
STR-09,Jaipur,North,2023-12-01,2023,Q4,14.4,12.36,1838,96.79,5.76,0,69.49,93.07,1.93,69,27,7,8.41,145.0
STR-10,Kochi,South,2023-12-01,2023,Q4,15.83,4.22,2143,98.86,2.12,0,49.26,95.33,0.98,56,51,17,-1.38,116.57
STR-01,Mumbai,West,2024-01-01,2024,Q1,10.13,12.18,2820,97.11,11.97,0,65.41,83.96,1.76,69,9,7,11.98,149.78
STR-02,Delhi,North,2024-01-01,2024,Q1,16.32,9.5,2521,104.97,2.29,0,41.15,81.0,1.68,21,44,9,9.86,122.02
STR-03,Bengaluru,South,2024-01-01,2024,Q1,16.16,3.36,914,96.52,8.06,0,62.46,83.01,1.78,15,19,5,7.22,113.94
STR-04,Chennai,South,2024-01-01,2024,Q1,20.77,10.72,3100,104.38,2.4,0,39.67,80.62,1.28,63,32,26,3.12,136.9
STR-05,Hyderabad,South,2024-01-01,2024,Q1,19.47,4.55,3015,97.93,4.71,0,58.98,98.58,1.44,66,30,5,2.79,140.28
STR-06,Pune,West,2024-01-01,2024,Q1,5.72,11.84,2093,97.73,2.92,0,38.97,98.58,1.21,64,32,27,3.27,108.22
STR-07,Kolkata,East,2024-01-01,2024,Q1,14.73,4.45,1545,99.01,7.78,0,58.59,91.63,1.91,81,15,8,0.2,122.93
STR-08,Ahmedabad,West,2024-01-01,2024,Q1,11.87,7.74,1236,97.34,4.78,0,43.58,86.99,1.44,23,26,23,-2.12,103.07
